DATETIME,Q_G
1988-03-09 00:40:00,195640.488
1988-03-09 00:50:00,196949.04
1988-03-09 01:00:00,196033.056
1988-03-09 01:10:00,194865.312
1988-03-09 01:20:00,196837.392
1988-03-09 01:30:00,187739.688
1988-03-09 01:40:00,195238.176
1988-03-09 01:50:00,193451.328
1988-03-09 02:00:00,193780.008
1988-03-09 02:10:00,195783.144
1988-03-09 02:20:00,195179.952
1988-03-09 02:30:00,194939.712
1988-03-09 02:40:00,195367.608
1988-03-09 02:50:00,196670.832
1988-03-09 03:00:00,195629.952
1988-03-09 03:10:00,192905.592
1988-03-09 03:20:00,190883.856
1988-03-09 03:30:00,196156.512
1988-03-09 03:40:00,194028.096
1988-03-09 03:50:00,196452.072
1988-03-09 04:00:00,194518.032
1988-03-09 04:10:00,195819.264
1988-03-09 04:20:00,195026.544
1988-03-09 04:30:00,193910.256
1988-03-09 04:40:00,195789.336
1988-03-09 04:50:00,194541.144
1988-03-09 05:00:00,193440.792
1988-03-09 05:10:00,196663.728
1988-03-09 05:20:00,192936.6
1988-03-09 05:30:00,196056.0
1988-03-09 05:40:00,195131.976
1988-03-09 05:50:00,195063.768
1988-03-09 06:00:00,193773.84
1988-03-09 06:10:00,194815.704
1988-03-09 06:20:00,195956.76
1988-03-09 06:30:00,193327.32
1988-03-09 06:40:00,195392.424
1988-03-09 06:50:00,195882.36
1988-03-09 07:00:00,194983.104
1988-03-09 07:10:00,192335.064
1988-03-09 07:20:00,194511.696
1988-03-09 07:30:00,193668.408
1988-03-09 07:40:00,194226.528
1988-03-09 07:50:00,194551.608
1988-03-09 08:00:00,194044.368
1988-03-09 08:10:00,194716.488
1988-03-09 08:20:00,194629.632
1988-03-09 08:30:00,194852.88
1988-03-09 08:40:00,192178.512
1988-03-19 04:10:00,203085.216
1988-03-19 04:20:00,203175.384
1988-03-19 04:30:00,202704.072
1988-03-19 04:40:00,204601.728
1988-03-19 04:50:00,203467.728
1988-03-19 05:00:00,203311.824
1988-03-19 05:10:00,203572.272
1988-03-19 05:20:00,203239.008
1988-03-19 05:30:00,203283.336
1988-03-19 05:40:00,203423.44800000003
1988-03-19 05:50:00,203876.16
1988-03-19 06:00:00,204142.32
1988-03-19 06:10:00,203770.704
1988-03-19 06:20:00,203076.144
1988-03-19 06:30:00,203429.64
1988-03-19 06:40:00,203465.232
1988-03-19 06:50:00,203801.76
1988-03-19 07:00:00,203119.536
1988-03-19 07:10:00,203516.472
1988-03-19 07:20:00,202956.936
1988-03-19 07:30:00,202778.496
1988-03-19 07:40:00,203349.024
1988-03-19 07:50:00,203404.848
1988-03-19 08:00:00,204015.24
1988-03-19 08:10:00,204198.648
1988-03-19 08:20:00,204583.12800000003
1988-03-19 08:30:00,204242.064
1988-03-19 08:40:00,203572.272
1988-03-19 08:50:00,203876.16
1988-03-19 09:00:00,203646.672
1988-03-19 09:10:00,203274.6
1988-03-19 09:20:00,204384.696
1988-03-19 09:30:00,204316.464
1988-03-19 09:40:00,204651.384
1988-03-19 09:50:00,204995.328
1988-03-19 10:00:00,204565.464
1988-03-19 10:10:00,204700.968
1988-03-19 10:20:00,204942.816
1988-03-19 10:30:00,205042.32
1988-03-19 10:40:00,204132.264
1988-03-19 10:50:00,206046.696
1988-03-19 11:00:00,205321.152
1988-03-19 11:10:00,205327.608
1988-03-19 11:20:00,205197.096
1988-03-19 11:30:00,205444.17600000004
1988-03-19 11:40:00,205323.624
1988-03-19 11:50:00,205971.048
1988-03-19 12:00:00,205767.6
1988-03-19 12:10:00,205823.472
1988-03-19 12:20:00,205658.568
1988-03-19 12:30:00,206673.096
1988-03-19 12:40:00,205935.072
1988-03-19 12:50:00,204787.8
1988-03-19 13:00:00,205375.32
1988-03-19 13:10:00,205122.648
1988-03-19 13:20:00,205866.84
1988-03-19 13:30:00,205563.0
1988-03-19 13:40:00,206027.424
1988-03-19 13:50:00,206083.944
1988-03-19 14:00:00,205531.968
1988-03-19 14:10:00,206642.04
1988-03-19 14:20:00,205314.936
1988-03-19 14:30:00,205178.496
1988-03-19 14:40:00,206214.168
1988-03-19 14:50:00,205575.432
1988-03-19 15:00:00,205011.024
1988-03-19 15:10:00,205190.904
1988-03-19 15:20:00,203100.984
1988-03-19 15:30:00,205606.416
1988-03-19 15:40:00,205928.85600000003
1988-03-29 21:10:00,179721.096
1988-03-29 21:20:00,182604.792
1988-03-29 21:30:00,181910.256
1988-03-29 21:40:00,181711.8
1988-03-29 21:50:00,182071.512
1988-03-29 22:00:00,180570.72
1988-03-29 22:10:00,183659.088
1988-03-29 22:20:00,182877.72
1988-03-29 22:30:00,181519.536
1988-03-29 22:40:00,179144.352
1988-03-29 22:50:00,179888.52
1988-03-29 23:00:00,182631.888
1988-03-29 23:10:00,182753.664
1988-03-29 23:20:00,179125.77599999998
1988-03-29 23:30:00,180260.64
1988-03-29 23:40:00,180840.864
1988-03-29 23:50:00,181457.52
1988-03-30 00:00:00,182158.32
1988-03-30 00:10:00,179479.248
1988-03-30 00:20:00,181189.8
1988-03-30 00:30:00,181401.744
1988-03-30 00:40:00,178617.216
1988-03-30 00:50:00,179674.94400000002
1988-03-30 01:00:00,181277.376
1988-03-30 01:10:00,179721.096
1988-03-30 01:20:00,180335.04
1988-03-30 01:30:00,181449.936
1988-03-30 01:40:00,177364.512
1988-03-30 01:50:00,179218.752
1988-03-30 02:00:00,173910.24
1988-03-30 02:10:00,179870.80800000002
1988-03-30 02:20:00,181159.872
1988-03-30 02:30:00,178766.064
1988-03-30 02:40:00,182542.8
1988-03-30 02:50:00,179648.08800000002
1988-03-30 03:00:00,179007.91199999998
1988-03-30 03:10:00,170797.05599999998
1988-03-30 03:20:00,181035.816
1988-03-30 03:30:00,178580.016
1988-03-30 03:40:00,176793.96
1988-03-30 03:50:00,182927.304
1988-03-30 04:00:00,180638.952
1988-03-30 04:10:00,181246.704
1988-03-30 04:20:00,183479.232
1988-03-30 04:30:00,183876.12
1988-03-30 04:40:00,181389.312
1988-03-30 04:50:00,180235.824
1988-03-30 05:00:00,180545.904
1988-03-30 05:10:00,179411.016
1988-03-30 05:20:00,170911.368
