,param_1,date,label
331,51.57,1590105600.0,1
332,27.69,1590192000.0,1
333,57.29,1590278400.0,1
334,50.43,1590364800.0,1
335,60.4,1590451200.0,1
336,61.32,1590537600.0,1
337,58.63,1590624000.0,1
338,45.74,1590710400.0,1
339,66.85,1590796800.0,1
340,52.89,1590883200.0,1
341,51.95,1590969600.0,1
342,39.17,1591056000.0,1
343,56.84,1591142400.0,1
344,39.29,1591228800.0,1
345,48.69,1591315200.0,1
346,33.98,1591401600.0,1
347,49.28,1591488000.0,1
348,36.2,1591660800.0,1
349,33.64,1591747200.0,1
350,31.07,1591833600.0,1
351,43.17,1591920000.0,1
352,27.03,1592006400.0,1
353,42.02,1592092800.0,1
354,27.22,1592179200.0,1
355,32.57,1592265600.0,1
356,24.4,1592352000.0,1
357,20.73,1592438400.0,1
358,24.33,1592524800.0,1
359,24.46,1592611200.0,1
360,26.4,1592697600.0,1
361,30.96,1592784000.0,1
362,20.69,1592956800.0,1
363,38.88,1593043200.0,1
364,35.4,1593129600.0,1
365,44.42,1593216000.0,1
366,32.06,1593302400.0,1
367,44.63,1593388800.0,1
368,35.53,1593475200.0,1
369,43.27,1593561600.0,1
370,34.52,1593648000.0,1
371,44.2,1593734400.0,1
372,36.59,1593820800.0,1
373,48.22,1593907200.0,1
374,35.11,1593993600.0,1
375,52.64,1594080000.0,1
376,39.25,1594166400.0,1
377,24.21,1594252800.0,1
378,56.31,1594339200.0,1
379,43.2,1594425600.0,1
380,41.8,1594512000.0,1
381,30.1,1594598400.0,1
382,47.24,1594684800.0,1
383,37.19,1594771200.0,1
384,49.69,1594857600.0,1
385,48.71,1594944000.0,1
386,47.67,1595030400.0,1
387,43.68,1595116800.0,1
388,37.39,1595203200.0,1
389,57.29,1595289600.0,1
390,47.67,1595376000.0,1
391,33.54,1595462400.0,1
392,39.82,1595548800.0,1
393,27.37,1595635200.0,1
394,45.07,1595721600.0,1
395,43.54,1595808000.0,1
396,54.41,1595894400.0,1
397,58.25,1595980800.0,1
398,67.47,1596067200.0,1
399,53.31,1596153600.0,1
400,69.08,1596240000.0,1
401,63.31,1596326400.0,1
402,62.09,1596412800.0,1
403,58.39,1596499200.0,1
404,60.1,1596585600.0,1
405,58.65,1596672000.0,1
406,53.68,1596758400.0,1
407,32.27,1596844800.0,1
408,36.85,1596931200.0,1
409,32.07,1597536000.0,1
410,36.74,1600214400.0,1
411,47.99,1600819200.0,1
412,30.23,1601856000.0,1
